姓名,性别,出生年月,职务,科室,专业,职称,单位,手机,邮箱,学会任职,特长,负责大区经理,客户潜力权重,主席统计,讲师统计
 五二,male,birth,doctor_1,hospital_1,doctor_1,title,unit,email,institute,phone,manage,string_point,0,0,0
Preke_Boyce_0,male,birth,doctor_0,hospital_0,doctor_0,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_1,male,birth,doctor_1,hospital_1,doctor_1,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_10,male,birth,doctor_10,hospital_10,doctor_10,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_11,male,birth,doctor_11,hospital_11,doctor_11,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_12,male,birth,doctor_12,hospital_12,doctor_12,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_13,male,birth,doctor_13,hospital_13,doctor_13,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_14,male,birth,doctor_14,hospital_14,doctor_14,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_15,male,birth,doctor_15,hospital_15,doctor_15,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_16,male,birth,doctor_16,hospital_16,doctor_16,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_17,male,birth,doctor_17,hospital_17,doctor_17,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_18,male,birth,doctor_18,hospital_18,doctor_18,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_19,male,birth,doctor_19,hospital_19,doctor_19,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_2,male,birth,doctor_2,hospital_2,doctor_2,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_20,male,birth,doctor_20,hospital_20,doctor_20,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_21,male,birth,doctor_21,hospital_21,doctor_21,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_22,male,birth,doctor_22,hospital_22,doctor_22,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_23,male,birth,doctor_23,hospital_23,doctor_23,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_24,male,birth,doctor_24,hospital_24,doctor_24,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_25,male,birth,doctor_25,hospital_25,doctor_25,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_26,male,birth,doctor_26,hospital_26,doctor_26,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_27,male,birth,doctor_27,hospital_27,doctor_27,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_28,male,birth,doctor_28,hospital_28,doctor_28,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_29,male,birth,doctor_29,hospital_29,doctor_29,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_3,male,birth,doctor_3,hospital_3,doctor_3,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_30,male,birth,doctor_30,hospital_30,doctor_30,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_31,male,birth,doctor_31,hospital_31,doctor_31,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_32,male,birth,doctor_32,hospital_32,doctor_32,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_33,male,birth,doctor_33,hospital_33,doctor_33,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_34,male,birth,doctor_34,hospital_34,doctor_34,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_35,male,birth,doctor_35,hospital_35,doctor_35,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_36,male,birth,doctor_36,hospital_36,doctor_36,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_37,male,birth,doctor_37,hospital_37,doctor_37,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_38,male,birth,doctor_38,hospital_38,doctor_38,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_39,male,birth,doctor_39,hospital_39,doctor_39,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_4,male,birth,doctor_4,hospital_4,doctor_4,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_40,male,birth,doctor_40,hospital_40,doctor_40,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_41,male,birth,doctor_41,hospital_41,doctor_41,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_42,male,birth,doctor_42,hospital_42,doctor_42,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_43,male,birth,doctor_43,hospital_43,doctor_43,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_44,male,birth,doctor_44,hospital_44,doctor_44,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_45,male,birth,doctor_45,hospital_45,doctor_45,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_46,male,birth,doctor_46,hospital_46,doctor_46,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_47,male,birth,doctor_47,hospital_47,doctor_47,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_48,male,birth,doctor_48,hospital_48,doctor_48,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_49,male,birth,doctor_49,hospital_49,doctor_49,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_5,male,birth,doctor_5,hospital_5,doctor_5,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_6,male,birth,doctor_6,hospital_6,doctor_6,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_7,male,birth,doctor_7,hospital_7,doctor_7,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_8,male,birth,doctor_8,hospital_8,doctor_8,title,unit,phone,email,institute,string_point,manage,0,0,0
Preke_Boyce_9,male,birth,doctor_9,hospital_9,doctor_9,title,unit,phone,email,institute,string_point,manage,0,0,0
